ADXL Vector
01
1.01
1.01
1.01
1.00
1.01
1.01
1.00
1.01
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
10.26
1.50
0.99
1.01
1.00
1.00
1.00
0.99
1.00
1.00
0.99
1.00
1.00
0.99
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
1.00
0.99
1.00
0.99
0.99
1.00
1.00
1.00
1.00
1.00
1.01
1.09
0.97
0.90
0.87
1.02
1.10
1.00
1.00
1.00
0.95
1.06
1.01
0.72
0.91
1.10
0.96
0.99
1.01
0.99
1.17
0.90
0.56
1.06
0.99
1.01
0.99
1.03
1.10
0.98
0.80
1.78
1.02
0.99
1.00
1.01
1.03
1.04
0.84
0.47
0.95
1.00
1.01
0.99
1.07
1.06
0.84
0.54
1.46
0.98
1.00
1.00
1.03
1.22
0.82
0.90
0.48
1.04
0.97
1.00
1.01
1.12
0.96
0.77
0.57
0.97
1.01
1.00
0.98
1.17
0.91
0.91
0.45
1.11
0.99
1.00
1.02
1.08
1.08
0.83
0.32
1.04
0.90
1.00
1.00
1.07
1.21
1.02
0.68
0.49
0.97
1.00
0.99
0.99
1.00
1.00
1.00
1.00
1.00
1.00
0.99
1.00
0.99
1.00
0.99
1.00
1.00
1.00
1.00
1.00
0.99
0.99
0.99
1.00
1.00
1.00
1.00
1.00
1.00
1.00
